TimeStamp,Study(1)/NonStudy(2),Specification,Table(T)/Hand(H),Path,PackageName,Light Intensity,RAW Accelerometer X,RAW Accelerometer Y,RAW Accelerometer Z,Displacement(ACC),RAW Gyroscope X,RAW Gyroscope Y,RAW Gyroscope Z,Displacement(Gyro),RAW Gravity X,RAW Gravity Y,RAW Gravity Z,Displacement(Grav),RAW Rotation Vector X,RAW Rotation Vector Y,RAW Rotation Vector Z,Displacement(RotVec),RAW Game Rotation Vector X,RAW Game Rotation Vector Y,RAW Game Rotation Vector Z,Displacement(GameRotVec),RAW Linear Acceleration X,RAW Linear Acceleration Y,RAW Linear Acceleration Z,Displacement(LinAcc),Battery Temperature,Total Memory,Free Memory,Memory Used,Others
2018-02-15-15.09.02.,1,1A,H,com.android.chrome,null,108,0.86190796,3.715805,9.193741,9.953640827,0.001525879,0.008956909,-0.019577026,2.16E-02,0.83457714,3.695331,9.045352,9.806649938,0.16427538,0.10876119,0.7080133,0.734913757,0.17631944,-0.0879025,-0.23338652,0.305425379,0.019327521,-0.03412795,0.042482376,0.057818875,30,882,214,668,6
2018-02-15-15.09.03.,1,1A,H,com.android.chrome,null,110,0.86190796,3.4284973,9.423584,10.06486038,0.021774292,0.038772583,-0.014251709,4.67E-02,0.7873439,3.4211218,9.156768,9.806650039,0.15199177,0.10016619,0.7114376,0.734355651,0.16289929,-0.0812317,-0.23026605,0.293525504,0.028636217,-0.006620646,0.12063503,0.124163909,30,882,214,668,7
2018-02-15-15.09.04.,1,1A,H,com.android.chrome,null,100,0.59376526,3.8498688,9.174576,9.967291093,0.007919312,-0.027267456,-0.014251709,3.18E-02,0.60997677,3.8580801,8.995194,9.806649214,0.16161479,0.1235045,0.70869166,0.737303581,0.18774432,-0.07826093,-0.2309644,0.307761689,-0.002509177,-0.080965996,0.060749054,0.101253326,30,882,212,670,8
2018-02-15-15.09.05.,1,1A,H,com.android.chrome,null,105,0.6895294,3.9073334,8.887283,9.732754195,0.25611877,0.05369568,-0.022766113,2.63E-01,0.788777,3.6643522,9.06205,9.806650621,0.1607728,0.11023014,0.7121242,0.738322053,0.1757043,-0.0842144,-0.22830991,0.300149098,0.12125075,0.046340227,1.0586176,1.066546007,30,882,212,670,9
2018-02-15-15.09.06.,1,1A,H,com.android.chrome,null,95,0.42138672,3.8881836,9.117126,9.920560719,0.010055542,0.04411316,-0.05899048,7.43E-02,0.5398058,3.8555486,9.000763,9.806649779,0.15877642,0.12601128,0.70922005,0.737619057,0.18864797,-0.074166946,-0.22847006,0.305429797,-0.12312293,-9.62E-04,0.037931442,0.128837012,30,882,211,671,10
2018-02-15-15.09.07.,1,1A,H,com.android.chrome,null,87,0.15322876,4.213791,8.925583,9.871451035,0.012176514,0.02067566,-0.004653931,2.44E-02,0.26460662,4.0931673,8.907657,9.806650215,0.15915796,0.14319442,0.6988184,0.730878276,0.20379747,-0.06559336,-0.23866522,0.320619689,-0.05631298,0.10266781,-0.13947201,0.182110605,30,882,210,672,11
2018-02-15-15.09.08.,1,1A,H,com.android.chrome,null,90,-0.19154358,4.577713,8.753204,9.879814043,0.4617157,0.18258667,-0.2177124,5.42E-01,0.2303278,4.279539,8.820594,9.806649961,0.16695076,0.14967401,0.6885909,0.724176976,0.21363509,-0.06808023,-0.24557014,0.332535055,-0.116545916,0.12362766,0.06105137,0.180538136,30,882,209,673,12
2018-02-15-15.09.09.,1,1A,H,com.android.chrome,null,108,0.746994,4.1180267,8.791504,9.736872523,0.20819092,0.17514038,-0.11224365,2.94E-01,0.7694626,4.056351,8.895185,9.806649393,0.17769709,0.122047104,0.69316715,0.725914905,0.19551137,-0.090813324,-0.239101,0.321933291,0.069765925,-0.07184553,-0.14448547,0.175798508,30,882,209,673,13
2018-02-15-15.09.10.,1,1A,H,com.android.chrome,null,105,0.97683716,3.9264832,8.9830475,9.852239519,-0.060256958,-0.023010254,0.03475952,7.33E-02,0.8568102,3.9190464,8.948594,9.806649937,0.17587934,0.11320394,0.69266665,0.723557712,0.18712392,-0.09345219,-0.23997712,0.318335815,0.03582126,-0.046435595,-0.025681496,0.064023171,30,882,213,669,14
2018-02-15-15.09.11.,1,1A,H,com.android.chrome,null,92,0.65122986,4.32872,8.9830475,9.992850422,0.03135681,0.008956909,-0.008926392,3.38E-02,0.6274202,4.3121505,8.785334,9.806650373,0.18316323,0.13610245,0.68716663,0.724065344,0.21042149,-0.08829179,-0.24351396,0.333723976,0.075427234,-0.06182623,0.21181965,0.233193727,30,882,242,640,15
