mem,temp,acc,rot,class
666.366666667,27.4,584.877415769,0.251268,1
666.916666667,27.4,584.896551832,0.250774,1
667.466666667,27.4,584.876266984,0.2495,1
668.033333333,27.4,584.875290361,0.24535,1
668.6,27.4,584.85836982,0.2466,1
669.15,27.4,584.877584131,0.232462,1
669.733333333,27.4,584.876417386,0.231472,1
670.333333333,27.4,584.836053038,0.232132,1
670.95,27.4,584.856208554,0.232232,1
671.566666667,27.4,584.894670688,0.233609,1
672.233333333,27.4,584.91599043,0.232789,1
672.9,27.4,584.935204741,0.233789,1
673.616666667,27.4,584.935355356,0.233789,1
674.3,27.4,584.954397311,0.233391,1
674.916666667,27.4,584.973518128,0.234511,1
675.566666667,27.4,584.936294953,0.234521,1
676.2,27.4,584.954568097,0.234311,1
676.85,27.4,584.95554472,0.235481,1
677.5,27.4,584.993890498,0.234081,1
678.116666667,27.4,584.955766229,0.233231,1
678.733333333,27.4,584.994153975,0.233061,1
679.35,27.4,584.995226612,0.232521,1
680.083333333,27.4,584.994381469,0.233981,1
680.816666667,27.4,584.994512949,0.232341,1
681.45,27.4,584.994512949,0.232581,1
681.95,27.4,584.994512949,0.23239,1
682.45,27.4,584.974319005,0.23244,1
682.95,27.4,585.012575271,0.23388,1
683.466666667,27.4,584.993665313,0.23732,1
683.95,27.4,584.991388109,0.25852,1
684.433333333,27.4,584.973381282,0.29386,1
684.9,27.4,584.973682386,0.2938,1
685.366666667,27.4,585.013126699,0.29858,1
685.766666667,27.4,585.032641525,0.29672,1
686.116666667,27.4,585.033845885,0.29715,1
686.466666667,27.4,585.033977623,0.29796,1
686.816666667,27.4,585.036480567,0.29864,1
687.15,27.4,585.093987786,0.25871,1
687.483333333,27.4,585.056127139,0.21036,1
687.833333333,27.4,585.055355606,0.21007,1
688.166666667,27.4,585.038631071,0.21,1
688.5,27.4,585.000619696,0.211067,1
688.833333333,27.4,585.020226628,0.198337,1
689.166666667,27.4,585.079843567,0.196557,1
688.8,27.4,585.082247676,0.197127,1
688.416666667,27.4,585.063426582,0.196977,1
688.033333333,27.4,584.928901625,0.191761,1
687.65,27.4,584.91123608,0.192091,1
687.233333333,27.4,584.929678259,0.191601,1
686.7,27.4,584.891723689,0.191131,1
686.15,27.4,584.891044921,0.189581,1
685.533333333,27.4,584.949459067,0.191761,1
684.916666667,27.4,584.965757133,0.191851,1
684.266666667,27.4,584.965983423,0.192569,1
683.633333333,27.4,584.96705606,0.190873,1
683,27.4,585.006533775,0.190244,1
682.35,27.4,584.969216307,0.207834,1
681.683333333,27.4,584.947970452,0.205944,1
681.05,27.4,584.964984927,0.207304,1
680.416666667,27.4,584.965210306,0.206764,1
679.766666667,27.4,584.94505479,0.228824,1
679.116666667,27.4,584.946033329,0.229498,1
678.466666667,27.4,584.925954219,0.229284,1
677.8,27.4,584.908923608,0.229654,1
677.133333333,27.4,584.906815853,0.226918,1
676.466666667,27.4,584.906815853,0.227047,1
675.8,27.4,584.908114321,0.226591,1
675.1,27.4,584.890258565,0.228031,1
674.4,27.4,584.89155449,0.228481,1
673.716666667,27.4,584.852113817,0.229351,1
673.033333333,27.4,584.870252343,0.234741,1
672.333333333,27.4,584.830958922,0.233901,1
671.633333333,27.4,584.832163282,0.235821,1
670.966666667,27.4,584.83225739,0.236579,1
670.3,27.4,584.795089007,0.235789,1
669.616666667,27.4,584.756754515,0.366269,1
668.95,27.4,584.719441516,0.366829,1
668.283333333,27.4,584.718464893,0.364653,1
667.616666667,27.4,584.621761033,0.469283,1
666.966666667,27.4,584.621629036,0.468713,1
666.233333333,27.4,584.584316037,0.469003,1
665.516666667,27.4,584.602194504,0.531543,1
664.683333333,27.4,584.469181796,0.587483,1
663.85,27.4,584.470120853,0.588083,1
663.083333333,27.4,584.451134473,0.591063,1
662.35,27.4,584.433335224,0.591114,1
661.616666667,27.4,584.472531139,0.590904,1
660.883333333,27.4,584.453410936,0.588238,1
660.15,27.4,584.509624951,0.638208,1
659.45,27.4,584.473650846,0.620488,1
658.75,27.4,584.514086516,0.587438,1
658.033333333,27.4,584.494555056,0.587338,1
657.333333333,27.4,584.437952793,0.587558,1
656.65,27.4,584.401583986,0.590608,1
655.983333333,27.4,584.38231831,0.590798,1
655.316666667,27.4,584.363050509,0.590508,1
654.65,27.4,584.324630371,0.590718,1
654,27.4,584.305378688,0.590232,1
653.35,27.4,584.342300167,0.588412,1
652.683333333,27.4,584.340963945,0.588402,1
651.983333333,27.4,584.376716776,0.588682,1
651.283333333,27.4,584.375512416,0.58738,1
650.583333333,27.4,584.374082076,0.58677,1
649.883333333,27.4,584.372786151,0.58844,1
649.883333333,27.4,584.371415133,0.5885,1
649.9,27.4,584.371019879,0.5866,1
649.916666667,27.4,584.388711953,0.589186,1
649.933333333,27.4,584.404344769,0.588316,1
649.933333333,27.4,584.384829943,0.588556,1
649.933333333,27.4,583.374147128,0.667946,1
649.95,27.4,583.375221842,0.673916,1
649.966666667,27.4,583.334703073,0.669486,1
649.983333333,27.4,583.316221307,0.66692,1
650.083333333,27.4,583.390398037,0.69531,1
650.216666667,27.4,583.407262176,0.710826,1
650.366666667,27.4,583.36784108,0.712725,1
649.866666667,27.4,583.36674729,0.693845,1
649.633333333,27.4,583.365653422,0.693615,1
649.516666667,27.4,583.309159565,0.691243,1
649.516666667,27.4,583.268569838,0.690263,1
649.583333333,27.4,583.249431552,0.666773,1
649.666666667,27.4,583.18988435,0.668403,1
649.716666667,27.4,583.188733851,0.669291,1
649.816666667,27.4,583.166320113,0.668494,1
649.933333333,27.4,583.183393836,0.66995,1
650.05,27.4,583.181214756,0.672089,1
650.166666667,27.4,583.17888116,0.672133,1
650.3,27.4,583.176556939,0.669583,1
650.433333333,27.4,583.137004378,0.669123,1
650.6,27.4,583.13596926,0.667623,1
650.433333333,27.4,583.115552947,0.661043,1
650.583333333,27.4,583.134691047,0.660843,1
650.916666667,27.4,583.114256331,0.659753,1
651.233333333,27.4,583.074810372,0.660563,1
651.5,27.4,583.053413589,0.661103,1
651.75,27.4,583.071494921,0.530773,1
651.983333333,27.4,583.088427001,0.530743,1
652.216666667,27.4,583.048982652,0.530449,1
652.45,27.4,583.162607053,0.426129,1
652.666666667,27.4,583.200863319,0.427199,1
652.9,27.4,583.236917813,0.425836,1
653.116666667,27.4,583.23496424,0.363206,1
653.3,27.4,583.366662041,0.308496,1
653.483333333,27.4,583.365497581,0.310216,1
653.65,27.4,583.324903998,0.307166,1
653.933333333,27.4,583.304575902,0.309686,1
654.216666667,27.4,585.943726706,0.600016,1
654.566666667,27.4,585.923383705,0.600982,1
654.916666667,27.4,585.846727797,0.546685,1
655.333333333,27.4,583.472013634,0.926505,1
655.75,27.4,583.430371026,0.926805,1
656.166666667,27.4,583.486942567,0.925765,1
656.583333333,27.4,583.485132393,0.924545,1
657,27.4,583.462918019,0.923405,1
657.366666667,27.4,583.459938587,0.924205,1
657.733333333,27.4,583.477343107,0.924015,1
658.1,27.4,583.513486171,0.922448,1
658.483333333,27.4,583.531704777,0.924864,1
658.883333333,27.4,583.530840647,0.927324,1
658.733333333,27.4,583.531141783,0.927094,1
659.066666667,27.4,583.493107398,0.927604,1
659.45,27.4,583.131817207,0.946806,1
659.766666667,27.4,583.113942377,0.947746,1
660.1,27.4,583.094012731,0.946936,1
660.35,27.4,583.075024266,0.946546,1
660.566666667,27.4,583.056112295,0.948006,1
660.766666667,27.4,582.941575574,0.951536,1
660.966666667,27.4,582.922831397,0.952056,1
661.183333333,27.4,582.923226609,0.952136,1
661.433333333,27.4,583.91375138,0.872096,1
661.666666667,27.4,583.931511033,0.866856,1
661.9,27.4,583.933642056,0.868176,1
662.616666667,27.3983333333,583.953156882,0.869352,1
663.233333333,27.3966666667,583.917404936,0.841842,1
663.783333333,27.395,583.897567216,0.827632,1
664.3,27.3933333333,583.91692931,0.825489,1
665.483333333,27.3916666667,583.916212708,0.826729,1
666.466666667,27.39,583.937611532,0.826179,1
667.333333333,27.3883333333,583.957956961,0.828441,1
668.083333333,27.3866666667,583.940271238,0.829611,1
668.766666667,27.385,583.676070636,0.843701,1
668.766666667,27.3833333333,583.696383763,0.843541,1
668.983333333,27.3816666667,583.717839218,0.844351,1
669.116666667,27.38,583.719328997,0.844131,1
669.25,27.3783333333,583.703290392,0.844891,1
669.383333333,27.3766666667,583.667345203,0.843701,1
669.433333333,27.375,583.648301221,0.844553,1
669.483333333,27.3733333333,583.708000403,0.844033,1
669.533333333,27.3716666667,583.747552964,0.844443,1
669.533333333,27.37,583.710464804,0.844883,1
669.866666667,27.3683333333,583.727781894,0.845163,1
669.916666667,27.3666666667,583.767189255,0.846833,1
669.783333333,27.365,583.804506723,0.846453,1
669.65,27.3633333333,583.824816619,0.846003,1
669.566666667,27.3616666667,583.864561483,0.844131,1
669.5,27.36,583.903950706,0.844511,1
669.433333333,27.3583333333,583.924331625,0.843601,1
669.366666667,27.3566666667,583.943752405,0.844131,1
669.3,27.355,583.925890965,0.843461,1
669.233333333,27.3533333333,583.9069025,0.842831,1
669.166666667,27.3516666667,583.946271273,0.842802,1
669.083333333,27.35,583.909232535,0.842402,1
669.033333333,27.3483333333,583.891427497,0.840312,1
668.95,27.3466666667,583.853397151,0.83731,1
668.933333333,27.345,583.893087478,0.83705,1
668.816666667,27.3433333333,583.933454301,0.83657,1
668.683333333,27.3416666667,581.293362598,0.54647,1
668.5,27.34,581.312802233,0.54731,1
668.3,27.3383333333,581.333112129,0.547755,1
668.033333333,27.3366666667,583.745306068,0.163395,1
667.766666667,27.335,583.785971274,0.161195,1
667.516666667,27.3333333333,583.748761827,0.162205,1
667.25,27.3316666667,583.787885,0.158935,1
666.983333333,27.33,583.808043397,0.158825,1
666.783333333,27.3283333333,583.828180779,0.157745,1
666.583333333,27.3266666667,583.83004406,0.157088,1
666.383333333,27.325,583.851269631,0.157225,1
666.166666667,27.3233333333,583.92973237,0.163375,1
665.933333333,27.3216666667,583.910476678,0.161115,1
