mem,temp,acc,rot,class
641.476190476,27.4,204.780410632,0.15976,1
641.666666667,27.4,204.780410632,0.16858,1
641.761904762,27.4,204.760219581,0.167997,1
641.80952381,27.4,204.761235727,0.172497,1
641.857142857,27.4,204.779256627,0.171634,1
641.952380952,27.4,204.779200126,0.171664,1
642,27.4,204.759010671,0.169744,1
642.095238095,27.4,204.757938018,0.168324,1
642.142857143,27.4,204.739933034,0.169254,1
642.142857143,27.4,204.738878476,0.170244,1
642.095238095,27.4,204.698385797,0.169744,1
642.142857143,27.4,204.660189762,0.170314,1
642.238095238,27.4,204.620828231,0.194984,1
642.333333333,27.4,204.619678002,0.169354,1
642.380952381,27.4,204.639905167,0.169254,1
642.333333333,27.4,204.638815835,0.159304,1
642.333333333,27.4,204.659125731,0.163844,1
642.285714286,27.4,204.679838069,0.165554,1
642.19047619,27.4,204.1829316,0.153591,1
642.095238095,27.4,204.125663206,0.128255,1
642,27.4,204.143788827,0.121385,1
641.952380952,27.4,204.085458829,0.108555,1
641.80952381,27.4,204.085609724,0.102695,1
641.761904762,27.4,204.105857165,0.104148,1
641.761904762,27.4,204.104841019,0.099928,1
641.761904762,27.4,204.122982683,0.100741,1
641.714285714,27.4,204.143209965,0.099801,1
641.666666667,27.4,204.181545636,0.101291,1
641.619047619,27.4,204.200722531,0.102611,1
641.571428571,27.4,204.219856669,0.101951,1
641.523809524,27.4,204.237998333,0.101801,1
641.523809524,27.4,204.276405511,0.085941,1
641.428571429,27.4,204.29337536,0.087071,1
641.333333333,27.4,204.328810553,0.061871,1
641.523809524,27.4,204.404355705,0.061341,1
641.857142857,27.4,204.402270204,0.061741,1
642.476190476,27.4,204.42146638,0.070991,1
643.095238095,27.4,204.439473207,0.064101,1
643.80952381,27.4,204.434814884,0.058105,1
644.476190476,27.4,204.930648706,0.060908,1
645.571428571,27.4,204.930648706,0.060787,1
646.666666667,27.4,204.912692166,0.059707,1
647.857142857,27.4,204.967859831,0.059797,1
649.095238095,27.4,204.966690791,0.057167,1
650.285714286,27.4,204.945464729,0.069177,1
651.523809524,27.4,204.944523719,0.070777,1
652.761904762,27.4,204.88714798,0.092577,1
654,27.4,204.010664031,0.147697,1
655.238095238,27.4,203.914952065,0.153667,1
656.476190476,27.4,203.876695429,0.153307,1
657.761904762,27.4,203.895137608,0.156087,1
659,27.4,203.875923297,0.155287,1
660.142857143,27.4,203.855673858,0.151707,1
660.095238095,27.4,203.8567655,0.148027,1
660.80952381,27.4,203.840521057,0.14647,1
661.285714286,27.4,203.785260272,0.14869,1
661.714285714,27.4,203.745966851,0.14799,1
661.952380952,27.4,203.688683508,0.13908,1
662,27.4,203.729028479,0.139,1
662,27.4,203.693993278,0.141596,1
662,27.4,203.713113666,0.140216,1
661.571428571,27.4,203.713019558,0.140543,1
661.142857143,27.4,203.692828818,0.138981,1
660.523809524,27.4,203.674821991,0.138511,1
659.904761905,27.4,203.714243087,0.138871,1
659.380952381,27.4,203.735469149,0.130391,1
658.80952381,27.4,203.754497445,0.128211,1
658.285714286,27.4,203.792658873,0.119611,1
657.666666667,27.4,204.649066139,0.065501,1
657.047619048,27.4,204.70751298,0.059371,1
656.380952381,27.4,204.7256141,0.058621,1
655.666666667,27.4,204.707171921,0.054344,1
654.857142857,27.4,204.688129966,0.056814,1
654.095238095,27.4,204.689165094,0.057164,1
654.428571429,27.4,204.689108587,0.057794,1
654.047619048,27.4,204.668993985,0.058211,1
653.80952381,27.4,204.687135649,0.056501,1
653.428571429,27.4,204.725395979,0.056561,1
653.095238095,27.4,204.745510581,0.056561,1
652.857142857,27.4,204.725415049,0.056031,1
652.619047619,27.4,204.705089997,0.055421,1
652.523809524,27.4,204.70518392,0.056611,1
652.619047619,27.4,204.686141965,0.057761,1
652.714285714,27.4,204.686141965,0.059573,1
652.857142857,27.4,204.725374854,0.059383,1
653,27.4,204.724304317,0.060383,1
653.19047619,27.4,204.724398231,0.056593,1
653.666666667,27.4,204.705369935,0.055583,1
654.095238095,27.4,204.687534709,0.042513,1
654.619047619,27.4,204.667326009,0.042293,1
655.142857143,27.4,204.647135075,0.041233,1
655.714285714,27.4,204.649336948,0.043103,1
656.285714286,27.4,204.647229173,0.04372,1
657.047619048,27.4,204.666365236,0.04324,1
657.80952381,27.4,204.665555978,0.04289,1
658.857142857,27.4,204.665612485,0.0447,1
659.952380952,27.4,204.684748548,0.04484,1
660.857142857,27.4,204.665628345,0.04394,1
661.80952381,27.4,204.646411997,0.04361,1
662.714285714,27.4,204.607177922,0.08252,1
663.666666667,27.4,204.607083999,0.13247,1
664.619047619,27.4,204.645429777,0.13173,1
665.523809524,27.4,204.625274456,0.13026,1
666.238095238,27.4,204.683626254,0.128973,1
666.952380952,27.4,204.664320426,0.141073,1
667.666666667,27.4,204.604928866,0.143153,1
668.380952381,27.4,204.603895775,0.141843,1
669,27.4,204.601792147,0.143163,1
669.333333333,27.4,204.737653326,0.147903,1
669.666666667,27.4,204.755488552,0.148713,1
670.095238095,27.4,204.775603154,0.148743,1
670.857142857,27.4,204.794817465,0.149933,1
671.666666667,27.4,204.775589229,0.148803,1
672.666666667,27.4,204.737556002,0.151343,1
673.619047619,27.4,204.739645594,0.151323,1
674.666666667,27.4,204.721318604,0.151055,1
675.571428571,27.4,204.721412712,0.150555,1
676.380952381,27.4,204.702125737,0.150775,1
677.238095238,27.4,204.720212849,0.152835,1
678.047619048,27.4,204.722414722,0.155425,1
678.761904762,27.4,204.761742895,0.116035,1
679.476190476,27.4,204.762813441,0.067125,1
680.238095238,27.4,204.780767084,0.068035,1
680.952380952,27.4,204.781802202,0.067351,1
681.666666667,27.4,204.742492359,0.067414,1
682.476190476,27.4,204.78091839,0.053984,1
683.285714286,27.4,204.821285761,0.054024,1
684.095238095,27.4,204.822318852,0.052826,1
684.904761905,27.4,204.804137632,0.051176,1
685.761904762,27.4,204.649044049,0.048386,1
686.619047619,27.4,204.668164437,0.047676,1
687.380952381,27.4,204.706626571,0.047596,1
687.80952381,27.4,204.689690047,0.047826,1
688.19047619,27.4,204.726965849,0.047766,1
688.380952381,27.4,204.766128312,0.044936,1
688.523809524,27.4,204.763944612,0.042568,1
688.571428571,27.4,204.821415988,0.044746,1
688.666666667,27.4,204.802279925,0.043886,1
