mem,temp,acc,rot,class
642,27.4,68.345379254,0.01974,1
643.285714286,27.4,68.345473177,0.01895,1
645.142857143,27.4,68.382641918,0.02781,1
647.142857143,27.4,68.362392479,0.02841,1
649.142857143,27.4,68.361359388,0.024454,1
651.142857143,27.4,68.36245103,0.023674,1
654.428571429,27.4,68.345228048,0.022117,1
656.857142857,27.4,68.309179464,0.023127,1
659.285714286,27.4,68.288930025,0.022937,1
661.142857143,27.4,68.231552389,0.013747,1
662.714285714,27.4,68.231552389,0.025187,1
664.285714286,27.4,68.212430159,0.028753,1
666,27.4,68.174268731,0.048913,1
666.428571429,27.4,67.318934102,0.10467,1
666.857142857,27.4,67.260393347,0.1108,1
666.857142857,27.4,67.242292227,0.11142,1
667,27.4,67.280943301,0.11453,1
667.142857143,27.4,67.281978429,0.10169,1
667,27.4,67.281884311,0.0985,1
663.142857143,27.4,67.320045739,0.07544,1
661.571428571,27.4,68.176358907,0.019683,1
660.142857143,27.4,68.215687461,0.014763,1
659,27.4,68.214744599,0.013633,1
657.714285714,27.4,68.176187818,0.010803,1
656.142857143,27.4,68.215497661,0.012123,1
654.714285714,27.4,68.199678808,0.014343,1
656.857142857,27.4,68.218799196,0.015863,1
656.714285714,27.4,68.217726549,0.01619,1
656.428571429,27.4,68.21674801,0.013418,1
655.714285714,27.4,68.217785165,0.013458,1
655,27.4,68.257111968,0.013538,1
654.857142857,27.4,68.237993059,0.016578,1
654.714285714,27.4,68.272934326,0.015368,1
654.857142857,27.4,68.253813938,0.028308,1
654.714285714,27.4,68.254980683,0.029628,1
654.571428571,27.4,68.275077509,0.03119,1
654.428571429,27.4,68.293084336,0.03153,1
654.285714286,27.4,68.273872135,0.030003,1
653.571428571,27.4,68.234639246,0.028113,1
652.857142857,27.4,68.21655196,0.027453,1
651.571428571,27.4,68.216495453,0.013623,1
650.714285714,27.4,68.196286753,0.012393,1
650.428571429,27.4,68.19531013,0.011893,1
650.142857143,27.4,68.214526478,0.011573,1
650,27.4,68.214526478,0.01302,1
650.142857143,27.4,68.252782744,0.01134,1
650.285714286,27.4,68.215603711,0.0126,1
651.142857143,27.4,68.234874529,0.01468,1
652.428571429,27.4,68.234874529,0.01574,1
653.142857143,27.4,68.215754326,0.01649,1
654,27.4,68.21776404,0.01628,1
654.714285714,27.4,68.235905704,0.01736,1
655.857142857,27.4,68.236976241,0.01714,1
657.857142857,27.4,68.273214264,0.01553,1
659.571428571,27.4,68.236164727,0.01421,1
660.714285714,27.4,68.236164727,0.01416,1
661.857142857,27.4,68.236070619,0.01285,1
663,27.4,68.21704643,0.01525,1
664.142857143,27.4,68.196796991,0.01334,1
665.142857143,27.4,68.176606251,0.01476,1
665.285714286,27.4,68.176738003,0.01476,1
665.857142857,27.4,68.194573229,0.01581,1
666.714285714,27.4,68.213709292,0.01494,1
667.571428571,27.4,68.2138034,0.0146,1
668.428571429,27.4,68.211601527,0.01208,1
669.285714286,27.4,68.174475227,0.05182,1
